test_suite,good,bad,mark
ece351.f.parboiled.TestFParboiledParser,71,0,10.00
ece351.f.parboiled.TestFParboiledParserBasic,5,0,0.00
ece351.f.parboiled.TestFParboiledRecognizerAccept,84,0,5.00
ece351.f.parboiled.TestFParboiledRecognizerReject,6,0,0.00
ece351.f.parboiled.TestFParserComparison,84,0,5.00
