test_suit,mark
ece351.w.rdescent.TestWRDParserAccept,30.00
ece351.w.rdescent.TestWRDParserBasic,5.00
ece351.w.rdescent.TestWRDParserReject,10.00
ece351.w.rdescent.TestWRDRecognizerAccept,20.00
ece351.w.rdescent.TestWRDRecognizerReject,10.00
ece351.w.regex.TestWRegexAccept,15.00
ece351.w.regex.TestWRegexReject,10.00
Total,100.00
