test_suite,good,bad,mark
ece351.f.rdescent.TestFRDParser,70,0,30.00
ece351.f.rdescent.TestFRDParserBasic,5,0,5.00
ece351.f.rdescent.TestFRDRecognizerAccept,84,0,5.00
ece351.f.rdescent.TestFRDRecognizerReject,6,0,5.00
ece351.f.test.TestObjectContractF,70,0,20.00
